,ano,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45,qsemana1,qsemana2,qsemana3,qsemana4,qsemana5,qsemana6,qsemana7,qsemana8,submeteu1,submeteu2,submeteu3,submeteu4,submeteu5,submeteu6,submeteu7,submeteu8,madrugada,manha,tarde,noite,subListaLab23,subListaLab45,subListaLab67,subListaLab89,subListaLab1011,subListaExer23,subListaExer45,subListaExer67,subListaExer89,subListaExer1011,subDistintasLab23,subDistintasLab45,subDistintasLab67,subDistintasLab89,subDistintasLab1011,subDistintasExer23,subDistintasExer45,subDistintasExer67,subDistintasExer89,subDistintasExer1011,diferentesLabSemanas23,diferentesLabSemanas45,diferentesLabSemanas67,diferentesLabSemanas89,diferentesLabSemanas1011,diferentesExerSemanas23,diferentesExerSemanas45,diferentesExerSemanas67,diferentesExerSemanas89,diferentesExerSemanas1011
41,2018.1,83.0,5.0,5.0,Prova 1 - Turma 3C e 3D,90.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,86.5,1,9,6,5,10,4,20,14,34,19,12,0.0,0.0,4.0,2.0,0.0,0.0,4.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,14.0,4.0,8.0,8.0,0.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,18.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,18.0,0.0
42,2017.2,12.0,2.0,5.0,Prova 1 - Turma 01 - 2017.2,11.0,1.0,6.0,Prova 2 - Turma 01 - 2017.2,11.5,0,12,10,3,17,4,25,21,46,23,7,0.0,0.0,9.0,0.0,14.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,20.0,6.0,0.0,3.0,4.0,0.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0
43,2017.2,28.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,1.66667E+16,4.0,6.0,Prova 2 - Turma 01 - 2017.2,2.23333E+16,0,11,23,13,8,5,47,13,60,28,9,0.0,0.0,4.0,0.0,4.0,0.0,18.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,19.0,3.0,12.0,9.0,0.0,1.0,1.0,11.0,0.0,0.0,3.0,3.0,20.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,2.0,11.0,0.0
44,2017.2,24.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,0.0,0.0,0.0,0,12.0,0,7,11,11,5,7,29,12,41,29,12,0.0,0.0,1.0,12.0,3.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,19.0,8.0,0.0,2.0,0.0,2.0,1.0,0.0,10.0,3.0,9.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,10.0,3.0,9.0,5.0
45,2017.2,92.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,9.43333E+15,6.0,6.0,Prova 2 - Turma 01 - 2017.2,9.31667E+15,1,10,21,17,23,6,48,29,77,46,26,0.0,0.0,5.0,23.0,28.0,0.0,11.0,2.0,0.0,0.0,1.0,4.0,3.0,0.0,3.0,2.0,13.0,6.0,29.0,21.0,0.0,5.0,7.0,4.0,0.0,0.0,20.0,20.0,9.0,12.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,3.0,5.0,4.0,0.0,5.0,7.0,3.0,0.0,0.0,18.0,19.0,9.0,11.0
46,2017.2,44.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,5.5,6.0,6.0,Prova 2 - Turma 01 - 2017.2,2475,0,10,9,3,2,2,22,4,26,18,4,0.0,0.0,11.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,7.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0
47,2017.2,100.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,9.43333E+15,6.0,6.0,Prova 2 - Turma 01 - 2017.2,9.71667E+15,1,3,5,2,3,5,10,8,18,10,8,0.0,0.0,4.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,1.0,1.0
48,2017.2,0.0,1.0,1.0,"Questão 2, Prova 1 - Prof. Rummenigge",80.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,40.0,0,6,3,5,5,7,14,12,26,12,3,0.0,0.0,7.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0
49,2018.1,70.0,5.0,5.0,Prova 1 - Turma 2C e 2D,80.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,75.0,1,6,3,5,5,7,14,12,26,12,3,0.0,0.0,7.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0
50,2017.2,0.0,1.0,1.0,"Questão 2, Prova 1 - Prof. Rummenigge",8.0,5.0,5.0,Prova 2 - Turmas 3C e 3D - 2018.1,4.0,0,10,2,3,1,3,15,4,19,10,3,0.0,0.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
