PWM,Velocidade
80,12,82
80,13.03
90,16.02
100,18.37
110,20.93
110,21.15
100,18.8
100,19.01
90,16.24
120,22.64
120,23.07
120,23.28
130,24.35
130,24.99
130,24.78
140,25.85
140,26.7
140,26.49
140,26.28
140,26.06
150,27.34
150,27.56
150,27.77
160,28.41
160,29.05
160,28.63
170,29.91
170,29.69
190,31.62
190,31.4
210,33.33
210,33.26
210,32.47
210,32.9
230,32.9
230,32.68
230,32.9
230,33.1
250,32.68
250,33.11
250,32.47
250,33.54
250,34.18
