Cliente;Avaliacoes;Publicacao;Dispositivomovel;Avaliacao;Comentario;Visita
paulo sergio c;218;30 de agosto de 2021;FALSO;Restauranate de segunda categoria;Estive, no dia 25.08.21 com minha esposa e mais um casal, nesse restaurante, baseado nos comentários favoráveis do trip. Solicitei uma salada e depois um macarrão com polpetas. Após um breve tempo o garçom retornou dizendo que não tinha mais esse prato no novo cardápio. Pedi então um macarrão que, no cardápio, continha tomate, mussarela italiana e manjericão. Veio o prato, comecei a comer e verifiquei que no macarrão só tinha molho de tomate. Nem uma amostra de mussarela e nem de manjerição. Chamei o garçom e mostrei-lhe o prato. Ele apontou um galhinho de salsinha e disse olha aí o manjericão. Disse-lhe que aquilo era salsa que decorava o prato. Ele então respondeu : ¨vou trazer à parte o manjericão¨. Disse-lhe que não precisava., mas mesmo assim trouxe um potinho com manjericão e que ia chamar o gerente. Muito tempo depois veio alguém, que nem perguntou o que aconteceu, apenas pedi a conta e não perdi tempo com quem não merece. Que categoria de restaurante é esse em que o prato vem totalmente incompleto e que vão trazer os ingredientes à parte. A mussarela então nem fizeram referência. Paguei e não comi o prato.;agosto de 2021
priscillac2021;10;1 de janeiro de 2021;VERDADEIRO;Pizza é aqui;Nossaaaaaa que pizza maravilhosa, pedi meia Toscana e a outra Delicada. Massa fina, crocante, no ponto ideal!!!! Me mudei de BH a pouco para Natal, difícil achar um lugar com tamanha qualidade aqui, voltarei mais vezes com certeza!;janeiro de 2021
RoseliDeCamargo;2;1 de outubro de 2021;FALSO;Excelente;"
Comida deliciosa e atendimento VIP .
transporte gratuito do hotel - restaurante - hotel
Ambiente agradável e requintado, música ao vivo de excelente qualidade.
E o melhor de tudo, valor justo e acessível!!!
Nossa família amou, com toda certeza está entre os melhores restaurantes de Natal ??";setembro de 2021
Sergio R;12;13 de outubro de 2021;FALSO;Pizza em Natal/ RN;Casa muito elegante, música ao vivo da melhor qualidade, transporte gratuito basta ligar e o principal a Pizza muito gostosa, leve uma delícia e o atendimento perfeito.;outubro de 2021
tha_zas2021;1;15 de janeiro de 2021;FALSO;Atendimento;Show de bola!!! Primeira vez que visitamos o local e fomos super bem atendidos!! Tivemos a honra de ser atendido pelo Fabrício, garçom super agradável e profissional. Sem falar a delícia de culinária que eles servem, tanto para sal quando doce. Todo cuidado e zelo...Mais;janeiro de 2021
TigoDF;3;7 de agosto de 2021;VERDADEIRO;Ótimo restaurante!;Ótima pizzaria em Natal! Vale a pena conhecer! Ótimo atendimento, qualidade nas pizzas! Além do traslado do hotel até o restaurante, vice versa!;agosto de 2021
ViajanteFeliz29;30;9 de fevereiro de 2021;FALSO;Pizza MARAVILHOSA;Único restaurante que repetimos no período que estávamos em Natal. No 1º dia jantamos e a comida é deliciosa. No 2º dia fomos comer pizza e ficamos surpreendidos com o sabor e a qualidade. Vale ressaltar o serviço... Funcionários muito simpáticos, serviço rápido.;fevereiro de 2021
W6742UVcarlosl;1;1 de novembro de 2021;FALSO;Forno a lenha!!;Faz toda diferença na pizza, massa fina, bem recheada, com certeza eu vou voltar para comer novamente, atendimento muito bom, ambiente muito agradavel.;outubro de 2021
Wap1998;1;21 de setembro de 2021;FALSO;Ótimo atendimento e comida maravilhosa;Atendimento dos garçons é realmente excelente, foi explicado todos os pratos e ainda nos fez indicações que foram certeiras, a comida é maravilhosa, cada prato melhor que o outro, parabéns, uns dos melhores atendimentos que já tive.;setembro de 2021
Yuri C;2;23 de agosto de 2021;FALSO;Pizza maravilhosa e ambiente acolhedor;O lugar é lindo com preço justo e comida saborosa. Mesmo com a casa cheia o pedido chegou rápido sem perder a qualidade. Garçons simpáticos com atendimento humanizado m. Certamente irei voltar :);agosto de 2021
zehenriquecl2020;1;1 de novembro de 2021;FALSO;Excelente restaurante italiano em ponta negra!;Ótimo espaço para família e um cardápio recheado de opções diferentes e deliciosas. Recomendadíssimo e espero voltar!;outubro de 2021
