Posição,Sexo,Categoria,Posição na Categoria,Tempo Final,Tempo Bruto  ,Ritmo,Velocidade
90.,Masculino,35-39,16,0:49:27.24,0:57:01.78,4:56,
91.,Masculino,35-39,17,0:49:33.94,0:50:02.54,4:58,
92.,Masculino,35-39,18,0:49:38.86,0:52:19.70,4:58,
93.,Masculino,25-34,21,0:49:40.93,0:50:20.78,4:58,
94.,Masculino,25-34,22,0:49:55.49,0:50:00.39,4:59,
95.,Masculino,35-39,19,0:49:57.24,0:50:12.83,5:00,
96.,Masculino,60-64,2,0:49:58.47,0:50:03.36,5:00,
97.,Masculino,25-34,23,0:50:02.24,0:50:22.47,5:00,
98.,Masculino,25-34,24,0:50:06.49,0:57:31.03,5:01,
99.,Masculino,60-64,3,0:50:08.11,0:50:13.19,5:01,
100.,Masculino,40-44,13,0:50:08.74,0:58:29.08,5:01,
101.,Feminino,35-39,1,0:50:14.65,0:50:14.65,5:01,
102.,Masculino,25-34,25,0:50:15.25,0:54:54.96,5:02,
103.,Feminino,45-49,2,0:50:22.28,0:50:32.26,5:02,
104.,Masculino,50-54,6,0:50:26.29,0:51:20.48,5:02,
105.,Masculino,25-34,26,0:50:26.52,0:53:59.31,5:02,
106.,Masculino,35-39,20,0:50:28.03,0:54:01.06,5:03,
107.,Masculino,60-64,4,0:50:34.43,0:54:33.87,5:04,
108.,Masculino,35-39,21,0:50:36.42,0:54:07.95,5:04,
109.,Masculino,35-39,22,0:50:38.06,0:52:00.77,5:04,
110.,Masculino,25-34,27,0:50:38.55,0:50:51.31,5:04,
111.,Masculino,35-39,23,0:50:40.43,0:56:48.73,5:04,
112.,Masculino,45-49,11,0:50:45.43,0:51:41.40,5:05,
113.,Masculino,25-34,28,0:50:46.65,0:50:58.45,5:05,
114.,Masculino,60-64,5,0:50:51.43,0:58:04.55,5:05,
115.,Feminino,50-54,1,0:50:52.83,0:50:58.52,5:05,
116.,Masculino,50-54,7,0:50:54.15,0:52:17.85,5:05,
117.,Feminino,60-64,1,0:50:59.62,0:51:05.81,5:06,
118.,Masculino,40-44,14,0:51:00.43,0:58:59.28,5:06,
119.,Feminino,60-64,2,0:51:07.70,0:58:03.24,5:07,
120.,Feminino,25-34,2,0:51:08.71,0:53:01.90,5:07,
121.,Feminino,35-39,2,0:51:10.57,0:57:19.48,5:07,
122.,Masculino,45-49,12,0:51:11.41,0:54:01.65,5:07,
123.,Feminino,40-44,1,0:51:14.07,0:51:23.01,5:07,
124.,Masculino,50-54,8,0:51:17.01,0:55:39.23,5:08,
125.,Masculino,50-54,9,0:51:17.46,0:59:42.80,5:08,
126.,Masculino,40-44,15,0:51:18.93,0:53:17.76,5:08,
127.,Masculino,25-34,29,0:51:20.03,0:58:04.15,5:08,
128.,Masculino,40-44,16,0:51:23.35,0:53:54.95,5:08,
129.,Masculino,25-34,30,0:51:31.36,0:52:58.67,5:09,
130.,Feminino,35-39,3,0:51:33.91,0:51:49.67,5:09,
131.,Masculino,65-69,5,0:51:34.02,0:56:42.56,5:10,
132.,Masculino,60-64,6,0:51:40.29,0:52:05.10,5:10,
133.,Masculino,35-39,24,0:51:41.35,0:52:04.44,5:10,
