Data,Irra méida,Irra std,Temp Média,Temp std,Vento médio,Vento std,Potência Gerada
01/01/2019,537.1363636,295.952051,29.26363636,0.8271228635,5.754545455,0.4335134188,18.4
02/01/2019,498.3156566,265.8303194,29.15454545,0.5365947114,5.954545455,0.5742404254,14.8
03/01/2019,482.9090909,249.872381,28.90909091,0.9462409317,6.090909091,0.9727697527,17.1
04/01/2019,387.7424242,208.2571609,28.52727273,1.176350991,4.963636364,1.300540256,14.8
05/01/2019,453.5606061,228.5236202,29.28181818,0.8809273851,5.390909091,0.6111904114,12.8
06/01/2019,346.8838384,226.7587252,27.73636364,1.787467852,4.290909091,1.211651424,12.2
07/01/2019,416.9772727,275.82355,28.38181818,1.20213309,4.663636364,1.114591427,10.7
08/01/2019,218.1111111,110.8465196,27.52727273,0.7758759379,3.554545455,0.8049434044,8.9
09/01/2019,460.1515152,239.6026433,28.93636364,0.9148002537,5.590909091,0.5680181582,17
10/01/2019,519.6035354,242.3000738,29.14545455,0.8446232472,5.663636364,0.5677270908,17.1
11/01/2019,546.8888889,261.8935804,29.14545455,1.19875969,5.418181818,0.8642581494,17.9
12/01/2019,458.669697,285.4187659,29.29090909,1.75107995,5.527272727,1.941925431,15.5
13/01/2019,428.2954545,217.3143796,28.35454545,1.099060455,4.4,0.8246211251,15.1
14/01/2019,341.4090909,200.6931343,27.49090909,1.045731189,4.027272727,0.996439944,10
15/01/2019,524.4924242,260.2157802,28.81818182,1.234222745,5.463636364,1.212265143,18.1
16/01/2019,506.3636364,246.4937828,28.75454545,0.9726847909,4.527272727,0.7299949055,17.8
17/01/2019,458.3989899,195.9495258,28.78181818,1.068404232,4.436363636,1.020937828,16.9
19/01/2019,490.4848485,254.1152676,29.09090909,1.122865284,4.172727273,0.9215509744,18.3
20/01/2019,465.5277778,249.1875226,29.29090909,0.9404588295,4.3,0.7122308104,14.9
21/01/2019,491.0732323,235.5201214,29.4,0.6701424543,5.972727273,0.5706310846,13.6
22/01/2019,538.3939394,265.9432641,29.00909091,1.228046894,4.781818182,0.9665479171,18.6
23/01/2019,523.0782828,260.4024929,29.34545455,0.6624522437,4.581818182,0.7004131012,18.6
24/01/2019,456.770202,264.5700804,29.01818182,1.223124302,5.018181818,0.8504738592,17.9
25/01/2019,535.8434343,261.0590501,29.67272727,0.7496555683,4.872727273,0.631147453,19.6
26/01/2019,408.4494949,305.7185093,28.21818182,1.818999816,3.609090909,1.119622132,10.4
27/01/2019,466.8232323,281.9202098,28.58181818,1.372335886,4.945454545,1.270192281,16.2
28/01/2019,550.1868687,259.0399698,29.23636364,1.167960715,4.245454545,1.201032614,18.3
29/01/2019,500.7626263,285.4120069,29.12727273,1.438490945,5.572727273,1.160791978,15.3
30/01/2019,513.6388889,269.578139,29.31818182,1.314131709,5.345454545,0.7866657328,17.3
31/01/2019,554.4116162,262.0389958,29.52727273,0.971494546,5.545454545,0.9651788684,18.1
01/05/2019,410.0732323,243.3006413,28.18181818,1.300921479,3.290909091,1.106554477,12.8
02/05/2019,518.6792929,308.1295155,28.87272727,1.360541944,4.409090909,1.290845069,14
03/05/2019,578.5555556,303.1281179,29.2,1.185518682,5.554545455,1.088254346,17.7
04/05/2019,543.7348485,279.9695363,29.20909091,1.130128348,5.736363636,1.0628202,15.1
05/05/2019,458.1363636,268.8066737,28.14545455,1.356039445,5.4,1.53030003,13.3
06/05/2019,420.3080808,243.3964154,28.6,1.624807681,5.027272727,1.056659323,12.5
07/05/2019,143.7239899,117.2430828,25.84545455,1.097404903,2.809090909,0.7856144618,7.1
08/05/2019,313.9040404,205.7334667,27.89090909,1.228046894,3.590909091,0.922895193,10.4
09/05/2019,486.3333333,260.796958,28.84545455,1.154724396,4.654545455,1.045652155,14
10/05/2019,472.5833333,269.4373705,29.05454545,1.094086282,5.372727273,1.201582978,14.7
11/05/2019,389.6919192,221.4461494,28.65454545,1.002146457,4.790909091,0.896918508,13.1
12/05/2019,456.3914141,315.3596626,28.88181818,1.554359372,5.172727273,0.9927838812,13.1
13/05/2019,476.1818182,250.5188553,28.52727273,1.361209962,3.818181818,0.6671761139,15
14/05/2019,544.3055556,297.2079287,29,1.064296609,2.818181818,0.4950999565,17.1
15/05/2019,507.6237374,309.9250673,28.92727273,1.130640132,2.445454545,1.088254346,14.7
16/05/2019,531.020202,293.3119071,28.97272727,0.9900329738,3.536363636,0.6004130809,16.4
17/05/2019,543.9191919,311.0158811,28.90909091,1.105732621,3.745454545,1.04216875,16.5
18/05/2019,573.8484848,297.8434661,28.73636364,1.131589973,3.663636364,0.9058122696,16.7
19/05/2019,296.8558081,236.0803758,27.41818182,1.524835718,2.809090909,0.6273386,8.7
20/05/2019,387.9116162,247.9489992,27.87272727,1.532728351,3.745454545,0.992117695,13.1
21/05/2019,273.4333333,212.7004307,26.43636364,1.275127607,3.572727273,1.257769244,10.6
22/05/2019,519.1212121,295.7046285,28.84545455,1.201032614,3.309090909,0.6999409656,14.5
23/05/2019,528.8914141,275.5527784,28.66363636,1.205497051,4.263636364,1.010195955,15.1
24/05/2019,545.3964646,283.7350153,28.86363636,1.097329591,4.672727273,0.9946135925,31.9
25/05/2019,556.3585859,289.3496322,29.19090909,0.9209230009,4.754545455,0.853190415,36
26/05/2019,514.2752525,276.3143061,28.41818182,1.369019677,4.3,0.9807232952,30.3
27/05/2019,405.4924242,271.4728216,27.55454545,1.331003474,3.190909091,0.9727697527,12.2
28/05/2019,453.8383838,248.7652247,28.22727273,1.335590376,4.236363636,0.7795951482,14.1
29/05/2019,418.7676768,215.9595643,28.40909091,0.896918508,4.836363636,1.305424158,13.2
30/05/2019,304.0909091,184.0388484,27.56363636,1.20172053,3.427272727,0.6383087157,10.9
31/05/2019,517.4292929,305.5478861,28.15454545,1.562261552,4.027272727,1.272857136,15.7
01/06/2019,557.2323232,286.7013824,28.49090909,1.231742701,3.781818182,0.8331955809,15.2
02/06/2019,500.290404,260.3903854,28.50909091,1.455681375,5.081818182,1.488023816,13.8
03/06/2019,527.3939394,263.2900278,28.78181818,1.196067938,5.209090909,1.391829761,13.5
04/06/2019,543.9823232,291.7631991,28.51818182,1.521851851,4.718181818,0.8472610222,15.7
05/06/2019,527.1313131,278.2795531,28.42727273,1.214376689,5.154545455,0.7889735983,15.3
06/06/2019,553.1969697,283.6454002,28.50909091,1.297868564,5.727272727,1.121760718,16.7
07/06/2019,532.4166667,274.06774,28.23636364,1.40794675,5.4,0.8954430087,15.8
08/06/2019,389.0505051,227.4722152,28.32727273,1.375824321,5.190909091,1.39248277,14.9
09/06/2019,546.0505051,271.8724223,28.64545455,1.328952859,5.563636364,0.9354364341,16
10/06/2019,166.7563131,121.8104153,25.3,1.107823419,4.454545455,0.835968286,5.5
11/06/2019,248.3383838,173.2138189,26.44545455,1.463099845,4.254545455,0.7524066071,7.8
12/06/2019,298.7525253,181.2126855,25.82727273,1.3136285,2.972727273,0.8356716505,10.7
13/06/2019,121.6393939,170.313608,24.79090909,1.101614143,3.109090909,1.329015046,4
14/06/2019,138.039899,103.5395437,24.04545455,1.293595157,2.345454545,1.02457409,5.7
15/06/2019,265.1186869,139.0405844,25.4,1.015336935,4.218181818,1.356344138,30.7
16/06/2019,376.1565657,273.4424649,26.29090909,1.70638083,2.627272727,0.6425671653,28.6
17/06/2019,216.0757576,152.1907349,25.2,1.110282519,2.590909091,0.9857664719,6.1
18/06/2019,412.0454545,215.3733783,27.24545455,1.153148761,3.7,0.8355727486,27.6
19/06/2019,543.8156566,279.2722272,27.76363636,1.268694911,5.190909091,1.076572461,16.5
20/06/2019,501.510101,275.6996534,27.61818182,1.494120709,5.663636364,1.341825573,14.7
21/06/2019,436.9015152,242.7612638,27.37272727,1.451701766,5.809090909,1.471211341,12.9
22/06/2019,517.1767677,266.3385993,27.78181818,1.417948699,6.081818182,1.308585761,15.2
23/06/2019,274.2878788,133.1949562,26.34545455,1.167252903,4.590909091,1.094992358,9.9
24/06/2019,544.9065657,280.7478595,27.11818182,1.285455831,3.872727273,0.93525972,15.9
25/06/2019,524.290404,286.5051561,27.59090909,1.322844418,5.045454545,1.212333315,15.3
26/06/2019,491.5757576,248.1521649,27.26363636,1.353294114,4.736363636,1.157012397,13.9
27/06/2019,445.979798,252.8888492,27.33636364,1.631659906,4.654545455,1.073959231,12.9
28/06/2019,501.7575758,285.0156926,27.60909091,1.829284284,5.363636364,1.217503203,15.6
29/06/2019,356.829798,274.1249025,26.61818182,1.935232277,5.163636364,1.200206594,11.8
30/06/2019,256.0075758,146.9277301,25.29090909,1.241300305,4.427272727,1.184821359,9.1
01/07/2019,512.0277778,274.6200007,27.63636364,0.8855124118,4.663636364,1.129982081,16.5
02/07/2019,487.0505051,237.6808396,26.7,1.277070511,3.536363636,0.7678455423,12.8
03/07/2019,267.4166667,160.6704955,25.80909091,1.631203987,2.272727273,0.4956004789,10.9
04/07/2019,513.3686869,292.3280155,27.65454545,1.289371684,4.1,0.9105442928,12.5
05/07/2019,524.5853535,342.2403386,27.44545455,1.036044608,4.272727273,0.5136162506,16
06/07/2019,513.9116162,294.5597442,27.71818182,0.7004131012,3.6,0.6045283661,15.5
07/07/2019,511.2045455,271.2976725,27.28181818,1.17768508,3.272727273,1.039310006,14.6
08/07/2019,506.6590909,262.7790201,27.34545455,1.147617006,4.727272727,0.9808075607,14.7
09/07/2019,555.3585859,295.789193,27.03636364,1.292124908,4.681818182,1.0961239,16.6
10/07/2019,253.5808081,150.8032373,24.60909091,1.329698903,4.554545455,0.8856057366,9.7
11/07/2019,513.6439394,311.3902562,27.41818182,1.430078308,4.863636364,1.371311733,14.2
12/07/2019,357.4949495,232.4167549,25.55454545,1.222042728,3.3,0.7410066863,12.2
13/07/2019,544.469697,285.9063341,27.44545455,0.6429528985,3.163636364,0.5032128183,15.4
14/07/2019,368.8939394,158.9757333,26.58181818,1.144805011,4.427272727,0.9026132859,12.2
15/07/2019,347.3914141,191.6445528,25.8,1.254084237,4.790909091,1.156369354,12.9
16/07/2019,325.8055556,197.5509005,25.9,1.365816439,3.772727273,0.4956004789,9.1
17/07/2019,541.3207071,283.3524205,27.19090909,1.155582927,4.936363636,1.159367169,15.8
18/07/2019,374.5328283,175.0828266,26.60909091,1.437456431,5.181818182,1.342195069,10.5
19/07/2019,423.1792929,226.7919283,25.76363636,1.479725237,5.254545455,1.021908763,12.3
20/07/2019,439.9520202,317.5958111,26.77272727,1.480227814,4.118181818,0.549078868,13.8
21/07/2019,485.0176768,257.8918208,27.02727273,1.363212055,4.454545455,1.256520185,15.7
22/07/2019,343.0656566,185.8841207,25.13636364,1.86853016,4.072727273,0.6383087157,11.5
23/07/2019,520.209596,309.2142883,27.67272727,0.8443296524,4.109090909,0.7609259257,16.4
24/07/2019,422.3080808,291.8711581,26.87272727,2.064016785,3.309090909,0.9811445501,11.8
25/07/2019,400.8888889,234.9013312,26.05454545,1.809753191,5.545454545,1.140465325,12.8
