ID,Sexo,Distancia,Tamanho passo,Altura
1,F,6.0625,0.60625,1.49
2,M,6.5,0.65,1.71
3,F,6.705,0.6705,1.55
4,F,6.96,0.696,1.615
5,F,7.38,0.738,1.595
6,M,8.305,0.8305,1.73
7,M,7.895,0.7895,1.85
8,F,5.6075,0.56075,1.5
9,F,6.095,0.6095,1.54
10,M,6.3525,0.63525,1.64
