Unid. 1,Unid. 2,Unid. 3,Resultado,Sit.,op_aritmetico,if,op_logico,while,vetor,dev_jogos,html,css,p5js,cpp,java,javascript,python,Você tem acesso regular a um ambiente computacional no qual possa programar durante a disciplina?,Quanto tempo você disponível para estudar para disciplina por semana? (Em horas) ,interesse_em_programacao,seu_ensino_medio
9.8,10.0,10.0,9.9,APR,1.0,1,1.0,1,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,Não,0.0,8,Ensino médio convencional particular
9.5,9.3,6.8,8.5,APR,1.0,3,1.0,3,1.0,1.0,3,1.0,0.0,0.0,1.0,3.0,0.0,Sim,20.0,8,Técnica pública
9.6,10.0,8.8,9.5,APR,0.0,3,0.0,0,1.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,Não,20.0,10,Ensino médio convencional particular
8.2,0.0,0.0,2.7,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,40.0,10,Ensino médio convencional particular
0.2,0.0,0.0,0.1,REP,3.0,3,3.0,1,1.0,0.0,1,0.0,0.0,3.0,0.0,3.0,0.0,Sim,21.0,10,Ensino médio convencional público
10.0,6.0,6.7,7.6,APR,1.0,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,Sim,22.0,10,Ensino médio convencional particular
9.5,2.0,0.0,3.8,REC,3.0,3,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,10.0,5,Ensino médio convencional público
0.9,0.0,0.0,0.3,REP,5.0,5,5.0,3,3.0,3.0,5,5.0,1.0,5.0,1.0,1.0,0.0,Não,2.0,7,Técnica pública
1.6,0.0,0.0,0.5,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,15.0,10,Ensino médio convencional público
10.0,10.0,6.0,8.7,APR,5.0,3,3.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,20.0,9,Ensino médio convencional particular
10.0,10.0,10.0,10.0,APR,3.0,3,1.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,Sim,20.0,8,Ensino médio convencional público
1.3,0.0,0.0,0.4,REP,1.0,1,1.0,1,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,15.0,8,Ensino médio convencional particular
10.0,10.0,8.8,9.6,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,7.0,10,Ensino médio convencional particular
8.9,2.0,1.3,4.1,REC,3.0,3,3.0,1,0.0,3.0,1,0.0,0.0,0.0,0.0,1.0,0.0,Sim,15.0,6,Ensino médio convencional particular
9.9,9.8,8.1,9.3,APR,3.0,3,3.0,3,3.0,0.0,1,0.0,1.0,0.0,3.0,3.0,0.0,Sim,8.0,7,Ensino médio convencional particular
1.6,0.0,0.0,0.5,REP,1.0,1,1.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,Sim,4.0,7,Ensino médio convencional particular
9.3,6.7,10.0,8.7,APR,3.0,3,3.0,3,1.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,Sim,10.0,9,Ensino médio convencional público
1.5,2.0,2.0,1.8,REP,1.0,1,0.0,1,0.0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,Não,5.0,5,Ensino médio convencional particular
8.1,0.0,0.0,2.7,REP,1.0,1,1.0,1,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,Sim,12.0,10,Ensino médio convencional público
9.8,10.0,10.0,9.9,APR,3.0,3,3.0,3,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,Sim,0.0,9,Técnica pública
9.7,8.4,5.7,7.9,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,5.0,5,Ensino médio convencional particular
0.2,0.0,0.0,0.1,REP,1.0,3,3.0,3,0.0,1.0,1,1.0,0.0,1.0,1.0,0.0,1.0,Sim,20.0,8,Ensino médio convencional particular
2.0,0.0,0.0,0.7,REP,0.0,0,0.0,0,0.0,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,Não,10.0,6,Ensino médio convencional particular
9.6,9.6,8.2,9.1,APR,5.0,5,5.0,5,5.0,1.0,5,5.0,0.0,0.0,5.0,3.0,0.0,Sim,20.0,10,Técnica pública
9.8,6.0,4.7,6.8,APRN,3.0,1,1.0,1,1.0,0.0,1,1.0,1.0,0.0,1.0,1.0,0.0,Sim,12.0,7,Ensino médio convencional público
9.6,10.0,10.0,9.9,APR,3.0,3,3.0,3,0.0,3.0,0,0.0,0.0,0.0,0.0,1.0,5.0,Não,30.0,10,Ensino médio convencional público
9.8,8.0,8.9,8.9,APR,3.0,3,1.0,0,0.0,0.0,0,0.0,0.0,3.0,3.0,3.0,0.0,Não,2.0,8,Ensino médio convencional particular
0.2,0.0,0.0,0.1,REP,0.0,0,0.0,0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,Sim,7.0,10,Ensino médio convencional particular
9.8,9.8,7.6,9.1,APR,1.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,20.0,10,Ensino médio convencional particular
9.5,7.8,3.2,6.8,APRN,0.0,1,0.0,0,0.0,0.0,3,3.0,0.0,1.0,1.0,1.0,1.0,Sim,6.0,10,Ensino médio convencional público
9.5,6.4,6.0,7.3,APR,3.0,3,3.0,3,3.0,1.0,1,1.0,1.0,0.0,3.0,1.0,0.0,Sim,20.0,10,Ensino médio convencional particular
