Unid. 1,Unid. 2,Unid. 3,Resultado,Sit.,op_aritmetico,if,op_logico,while,vetor,dev_jogos,html,css,p5js,cpp,java,javascript,python,Você tem acesso regular a um ambiente computacional no qual possa programar durante a disciplina?,Quanto tempo você disponível para estudar para disciplina por semana? (Em horas) ,interesse_em_programacao,seu_ensino_medio
9.6,10.0,4.7,8.1,APR,0.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Sim,24.0,9,Ensino médio convencional particular
9.7,9.1,6.0,8.3,APR,3.0,3,3.0,3,1.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,Sim,35.0,7,Técnica particular
9.8,8.2,3.7,7.2,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,12.0,10,Ensino médio convencional particular
7.3,0.0,0.7,2.7,REP,3.0,3,3.0,1,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,Sim,20.0,7,Ensino médio convencional público
5.5,0.0,0.0,1.8,REP,3.0,3,3.0,3,1.0,0.0,1,1.0,0.0,0.0,1.0,1.0,0.0,Sim,20.0,10,Técnica pública
10.0,10.0,10.0,10.0,APR,3.0,3,3.0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,Sim,3.0,10,Ensino médio convencional particular
10.0,10.0,10.0,10.0,APR,3.0,3,3.0,3,3.0,1.0,3,1.0,1.0,1.0,1.0,3.0,0.0,Sim,5.0,10,Ensino médio convencional particular
0.7,0.0,0.0,0.2,REP,0.0,1,1.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,Sim,2.0,10,Ensino médio convencional público
9.8,6.0,10.0,8.6,APR,5.0,5,5.0,5,5.0,5.0,1,1.0,3.0,1.0,1.0,3.0,1.0,Sim,70.0,10,Ensino médio convencional público
0.7,0.0,0.0,0.2,REP,0.0,0,0.0,0,0.0,0.0,3,3.0,0.0,1.0,0.0,0.0,0.0,Sim,3.0,10,Ensino médio convencional particular
1.9,2.0,0.0,1.3,REP,1.0,3,3.0,3,3.0,1.0,1,0.0,1.0,0.0,1.0,3.0,5.0,Sim,5.0,10,Ensino médio convencional público
10.0,10.0,9.8,9.9,APR,3.0,3,1.0,1,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0,Sim,12.0,8,Técnica pública
0.9,0.0,0.0,0.3,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,38.0,10,Ensino médio convencional particular
1.7,0.0,0.0,0.6,REP,3.0,3,3.0,1,1.0,3.0,1,1.0,1.0,1.0,0.0,3.0,0.0,Sim,3.0,9,Ensino médio convencional particular
